Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
DE,Auburn,74,261,4.67,33,35,114,7.46,4.19,Y
CB,USC,73,201,4.44,37.5,26,130,7.01,4.12,Y
DT,Baylor,73,311,5.05,27.5,31,113,8.05,4.82,Y
DL,Arizona State,77,318,5.01,32,30,118,7.65,4.53,Y
WR,Tennessee,75,208,4.4,30.5,10,121,7.05,4.19,Y
DT,Arizona State,75,307,4.91,,27,,,,Y
OT,Ohio State,78,312,5.27,32.5,19,116,7.71,4.71,Y
DT,Michigan,75,302,5.13,27.5,20,105,7.55,4.5,Y
DL,Notre Dame,76,268,,,,,,,Y
CB,Illinois State,73,200,4.43,32.5,22,123,6.96,4.4,Y
K,Memphis,69,167,4.79,,,,,,Y
DE,Virginia,76,296,5.03,28,31,101,7.51,4.48,Y
OG,Arizona State,75,298,5.12,,34,98,7.69,4.71,Y
CB,West. Michigan,70,190,4.54,,,,,,Y
OT,Utah,77,309,,,27,,,,Y
OL,Kansas,76,302,5.17,34,26,115,,,Y
RB,Texas A&M,68,206,4.51,33,19,121,7.44,4.44,Y
S,Fresno State,70,200,4.61,,,,,,Y
WR,Mississippi,75,205,4.47,31.5,14,119,,,Y
LB,Auburn,71,234,,31,25,111,,4.38,Y
RB,Oklahoma,73,224,,,25,,,,Y
LB,Purdue,73,235,,,15,,,,Y
WR,West Virginia,68,180,4.43,34,13,121,6.64,4.07,Y
QB,Toledo,73,213,4.79,31.5,,103,6.94,4.15,Y
OT,Mississippi,75,320,5.24,30.5,,99,,,Y
WR,Florida State,77,228,4.68,31,,112,,,Y
OL,Alabama,76,312,5.05,34.5,,113,,4.84,Y
DT,Washington,74,339,5.64,30.5,34,95,7.99,4.65,Y
WR,Baylor,71,194,4.42,40.5,17,129,,,Y
C,Florida State,77,313,5.15,30.5,30,112,7.48,4.63,Y
DE,Texas A&M,76,272,4.64,41,33,128,,,Y
QB,Oklahoma,73,215,4.84,29,,111,7,4.28,Y
S,Michigan,71,213,4.46,35.5,19,128,,,Y
TE,Miami (FL),76,246,4.64,37.5,21,133,6.97,4.34,Y
CB,Ohio State,70,191,4.32,39,16,136,,,Y
DE,Oklahoma State,76,273,4.63,35.5,20,121,7.26,4.5,Y
OG,Nevada,76,306,5.15,28,19,106,7.87,4.5,Y
RB,Georgia,71,227,4.52,38.5,29,128,7.09,4.25,Y
S,LSU,74,213,,,,,,,Y
CB,LSU,74,185,4.37,,,,,,Y
DE,Utah,75,250,4.8,31.5,,115,7.28,4.43,Y
QB,Notre Dame,76,233,4.83,30.5,,107,7.4,4.53,Y
DE,Penn State,79,277,4.84,28.5,21,114,7.27,4.37,Y
DE,Charlotte,75,305,4.97,32,26,116,7.55,4.75,Y
DE,Miami (FL),78,281,4.92,29,,116,,,Y
OT,Auburn,77,307,5.18,,22,,,,Y
RB,Miami (FL),69,207,4.54,33.5,,121,,,Y
LB,BYU,73,238,4.63,37,24,125,7.21,4.28,Y
DL,Missouri,76,302,5.02,27.5,24,,,4.73,Y
QB,USC,73,220,4.89,29.5,,104,7.32,4,Y
DT,Washington State,75,293,4.86,29,29,110,7.23,4.37,Y
LB,LSU,75,229,4.66,39,,126,7.38,4.33,Y
WR,Florida,71,200,4.41,34,,121,,,Y
WR,Auburn,74,215,4.43,38,18,132,,,Y
S,Northwestern,71,208,4.52,,23,,,,Y
TE,Florida Atlantic,77,243,4.73,32.5,13,110,7.41,4.37,Y
S,Miami (FL),73,196,4.44,39,,130,,4.14,Y
WR,Washington State,74,224,4.67,35.5,,117,6.93,4.13,Y
CB,Houston,73,184,4.57,33.5,,119,6.68,3.94,Y
S,TCU,70,207,4.5,37.5,,123,7.05,4.29,Y
OLB,Wisconsin,73,244,4.76,33.5,22,111,7.11,4.3,Y
ILB,Memphis,73,248,4.59,36,26,124,6.9,4.36,Y
WR,UCLA,73,207,4.47,34.5,,121,7.08,4.33,Y
LB,Alabama,73,240,,32,,117,,,Y
OT,Florida State,79,298,,,,,,,Y
OL,Washington,73,302,5.1,29.5,20,103,,,Y
OT,Baylor,78,315,5.27,27,30,100,7.88,4.66,Y
K,Oklahoma,69,213,,,,,,,Y
WR,Colorado State,73,196,4.64,32,13,116,,,Y
DT,Florida,75,307,5.14,27,21,105,7.66,4.62,Y
WR,Michigan,74,212,4.48,44.5,,139,,,Y
CB,Louisville,70,180,4.44,34.5,,123,7.07,4.2,Y
TE,USC,76,250,4.83,,20,,,,Y
ILB,USC,73,240,4.78,31,19,110,7.07,4.39,Y
K,Arizona State,73,202,,,,,,,Y
CB,Oregon,69,192,4.52,,,,,,Y
ILB,Arizona,73,239,4.9,31,22,113,,4.47,Y
RB,North Carolina State,69,205,4.47,28,18,109,,,Y
WR,Oklahoma,74,198,4.5,34.5,11,124,,,Y
ILB,Boise State,76,256,4.65,39.5,20,124,6.88,4.15,Y
CB,Connecticut,73,199,4.43,44.5,,147,6.78,3.94,Y
DE,Michigan,78,277,4.92,33,25,116,7.17,4.39,Y
RB,Ohio State,73,225,4.47,32.5,,118,,,Y
OLB,Notre Dame,74,223,4.67,,,,,,Y
OT,Texas,77,296,5.05,34,26,112,7.83,4.63,Y
CB,Alabama,73,205,,,,,,,Y
DL,Central Florida,75,308,5.04,35,28,115,7.7,4.38,Y
DE,Nebraska,77,235,4.64,36.5,24,125,,,Y
CB,Colorado,73,202,4.43,34.5,16,132,6.81,4.14,Y
DT,Nebraska,74,311,5.03,29.5,25,109,7.53,4.52,Y
WR,Colorado State,73,205,4.51,36,10,122,6.95,4.37,Y
DL,Oklahoma,74,304,4.79,,23,,7.97,5.01,Y
OL,Penn State,77,308,,,28,112,7.66,4.57,Y
OT,Florida,77,314,5.16,29.5,21,106,8,4.7,Y
CB,Michigan,70,188,4.54,34.5,15,121,,,Y
DE,Oklahoma,75,271,4.59,34,23,119,,,Y
CB,Tulsa,73,205,4.44,36,22,132,7.09,4.18,Y
ILB,Minnesota,73,245,4.77,37,22,119,7.21,4.2,Y
RB,Memphis,73,210,4.52,35,13,121,,,Y
WR,North Carolina,68,181,4.51,32,11,116,6.77,4,Y
QB,Mississippi State,74,226,4.79,32.5,,116,7.11,4.32,Y
TE,Stanford,77,244,4.75,32,15,120,7,4.4,Y
OL,Wisconsin,76,314,,,,,,,Y
CB,Miami (FL),73,210,4.45,40.5,13,130,7.12,4.12,Y
DE,Purdue,76,269,4.75,32.5,25,119,7.25,4.47,Y
DL,Miami (FL),76,275,,27,22,109,,,Y
QB,Western Kentucky,77,224,5.09,27,,96,7.4,4.4,Y
DL,Utah,75,257,4.93,31,25,115,7.44,4.43,Y
CB,Purdue,71,192,4.33,35,19,115,7.03,4.19,Y
S,Louisiana Tech,71,197,4.54,33.5,19,122,6.72,4.13,Y
OLB,Indiana,74,245,4.78,,23,,,,Y
WR,Boise State,74,197,4.55,37,9,121,6.89,4.23,Y
S,Central Michigan,73,217,4.53,,18,,,,Y
S,Texas A&M,73,199,,36,18,127,,,Y
CB,Florida State,73,194,4.59,36,,123,,,Y
RB,Ohio State,70,211,4.47,33.5,22,,,,Y
OLB,Wyoming,74,232,4.56,,24,,,,Y
RB,Alabama,73,228,4.52,40,14,129,,4.34,Y
WR,Ohio State,74,222,,,19,,7.07,4.33,Y
EDGE,Oregon,77,256,4.92,32.5,19,113,7.22,4.59,Y
OT,Virginia Tech,78,305,5.04,33.5,24,113,7.72,4.56,Y
WR,Alabama,73,193,4.45,35,,120,,4.53,Y
OT,Utah,77,297,4.95,28,,115,7.29,4.55,Y
