Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
WR,Syracuse,73,197,4.5,36,,117,,,N
WR,Syracuse,76,214,4.5,34.5,,124,,,N
WR,Syracuse,73,208,4.49,31,14,126,6.95,4.32,N
DE,Syracuse,75,253,4.92,,18,,7.46,4.5,N
S,Syracuse,75,208,4.56,31,,117,7.09,4.26,N
OT,Syracuse,77,309,5.39,,35,,,,N
RB,TCU,70,208,4.61,36,19,128,,4.19,N
OL,TCU,75,309,5.22,27,25,94,8.03,4.87,N
RB,TCU,75,232,4.66,36,25,123,,4.28,N
DL,TCU,74,283,4.91,30,25,118,7.71,4.78,N
RB,TCU,70,204,4.63,36.5,13,122,,,N
OG,TCU,76,295,4.81,,34,,,,N
QB,TCU,73,212,4.77,32,,110,,4.4,N
K,TCU,74,186,4.96,,,,,,N
RB,TCU,67,186,4.57,36,,114,6.9,4.15,N
S,TCU,73,195,4.81,32,,110,7.12,4.2,N
CB,TCU,69,183,4.63,35.5,18,121,,,N
S,Temple,73,190,4.65,34.5,16,119,,4.62,N
RB,Temple,70,190,4.62,32,11,116,,,N
DE,Tenn-Chattanooga,75,271,,,,,,,N
DT,Tenn-Chattanooga,76,314,4.99,26.5,30,106,7.3,4.44,N
LB,Tennessee,74,246,4.84,32,16,121,,,N
WR,Tennessee,73,205,4.55,38,,126,,,N
TE,Tennessee,76,261,4.92,35,,119,,,N
P,Tennessee,73,230,4.98,32.5,23,119,,,N
OLB,Tennessee,75,247,4.73,,,,,,N
WR,Tennessee,74,223,4.48,35,17,123,6.9,4.13,N
CB,Tennessee,71,185,4.53,37.5,20,124,6.61,3.98,N
OG,Tennessee State,76,318,4.98,28.5,23,108,,,N
CB,Tennessee State,71,189,4.47,34,13,130,,,N
DL,Texas,74,297,4.84,30,20,114,,,N
CB,Texas,74,202,4.57,37,14,125,6.76,4.15,N
WR,Texas,76,210,4.75,33.5,13,119,7.09,4.29,N
LB,Texas,73,226,4.43,33.5,16,121,7.15,4.57,N
CB,Texas,75,200,4.49,31,14,120,6.83,4.15,N
RB,Texas,74,247,4.69,33,25,121,6.98,4.18,N
RB,Texas,71,224,4.62,34.5,19,117,6.86,4.15,N
DE,Texas,77,269,4.89,,22,,,,N
WR,Texas A&M,73,201,4.54,35.5,,,,,N
WR,Texas A&M,76,208,4.51,35.5,17,124,7.13,4.48,N
LB,Texas A&M,75,239,4.82,36,20,131,,,N
LB,Texas A&M,73,237,4.6,,24,118,,,N
DT,Texas A&M,73,298,5.16,29.5,20,105,7.33,4.58,N
P,Texas A&M,75,211,,,,,,,N
OG,Texas A&M,75,318,5.35,20,24,91,8.08,5,N
QB,Texas A&M,73,219,4.54,35.5,,125,7.04,4.14,N
WR,Texas A&M,71,199,,43.5,18,133,,,N
WR,Texas A&M,77,243,4.69,28,17,121,7.46,4.33,N
RB,Texas A&M,71,227,4.63,,19,,,,N
OG,Texas A&M,78,295,5.27,,20,,,,N
CB,Texas A&M,71,176,4.56,38.5,,124,6.82,4.06,N
OT,Texas A&M,77,277,4.98,32,,108,7.52,4.48,N
K,Texas A&M,73,216,5.16,,,,,,N
RB,Texas A&M,67,195,4.49,33.5,18,119,6.84,4.12,N
TE,Texas State,74,250,4.75,33,17,117,7.27,4.51,N
P,Texas State,74,206,5.02,,,,,,N
OL,Texas Tech,78,312,5.03,27.5,27,106,,5.08,N
WR,Texas Tech,76,206,,37,6,117,7.07,4.26,N
QB,Texas Tech,75,220,4.88,28.5,,101,7.28,4.32,N
DE,Texas Tech,76,273,5.06,31.5,20,113,7.4,4.77,N
TE,Texas-El Paso,76,264,4.97,28,18,109,7.55,4.59,N
TE,Texas-El Paso,78,263,4.98,30.5,19,110,7.46,4.54,N
WR,Toledo,73,205,4.57,38.5,19,119,6.87,4.03,N
EDGE,Toledo,74,248,4.83,31.5,26,,7.21,4.28,N
WR,Toledo,76,206,4.54,29.5,12,112,7.18,4.33,N
C,Toledo,76,301,5.08,,,,,,N
DE,Towson,76,254,4.97,,23,,,,N
CB,Troy,73,194,4.75,,14,126,7.33,4.22,N
WR,Tulsa,69,192,4.55,32.5,11,119,7.23,4.43,N
WR,Tulsa,75,220,4.53,36.5,14,128,7.3,4.33,N
WR,UC Davis,74,211,,,8,,,,N
CB,UCF,73,190,,35,10,126,6.88,4.31,N
K,UCLA,71,182,,,,,,,N
OT,UCLA,76,299,5.32,29,21,105,8,4.84,N
DE,UCLA,76,292,5.06,31,26,,,,N
C,UCLA,75,303,5.01,28,25,108,7.31,4.27,N
K,UCLA,71,183,4.96,,,,,,N
OG,UCLA,77,294,5.3,28,30,111,7.75,4.9,N
S,UCLA,73,198,4.72,33.5,15,116,7.18,4.15,N
DT,UCLA,77,338,5.21,32,24,109,8.16,5.07,N
OG,UNLV,79,301,5.6,25,,103,7.91,4.75,N
WR,UNLV,75,220,4.57,35.5,16,115,7.25,4.12,N
EDGE,USC,76,255,4.69,35.5,31,119,,,N
WR,USC,73,186,,,,,,,N
RB,USC,71,205,4.65,36.5,,,,,N
WR,USC,70,189,4.56,32.5,13,121,6.75,4.4,N
RB,USC,73,208,,,21,,,,N
OG,USC,75,334,5.84,24.5,,96,8.51,5.38,N
WR,USC,73,216,,26.5,8,112,7.22,4.54,N
OT,USC,79,306,5.48,20.5,15,105,,5.01,N
RB,USC,73,223,4.53,,24,,,,N
FB,USC,71,246,4.68,32,26,108,,,N
NT,USC,73,318,5.18,,,,,,N
OLB,USC,74,249,4.91,30.5,20,112,,,N
LB,Utah,73,234,4.81,32.5,19,120,,,N
CB,Utah,69,191,4.29,,21,,,,N
LB,Utah,75,222,,,,,,,N
WR,Utah,74,199,,36,,120,,,N
DT,Utah,74,315,,,28,,,,N
OG,Utah,77,310,5.4,28,,109,7.7,4.9,N
S,Utah,73,218,4.48,,19,,,,N
DE,Utah,74,271,4.92,35.5,23,113,7.06,4.39,N
P,Utah,70,198,4.86,,,,,,N
ILB,Utah,73,241,4.8,29.5,19,114,,4.52,N
ILB,Utah,70,231,5.05,31,22,113,,,N
WR,Utah,73,187,4.54,,13,,,,N
LB,Utah State,77,235,,,,,,,N
LB,Utah State,74,230,4.79,33.5,16,114,7.34,4.37,N
TE,Utah State,77,255,4.73,32,15,109,7.15,4.39,N
WR,Utah State,71,198,4.58,32.5,12,116,7.12,4.19,N
WR,Vanderbilt,73,207,4.57,32,16,127,,,N
TE,Vanderbilt,76,257,4.96,,23,,,,N
QB,Vanderbilt,76,230,4.91,29.5,,106,7.51,4.53,N
CB,Vanderbilt,76,211,4.64,,17,,,,N
OL,Villanova,76,327,,,,,,,N
LB,Virginia,75,241,,,,,,,N
QB,Virginia,75,218,4.95,31,16,112,7.15,4.33,N
S,Virginia,74,215,4.63,31.5,,122,,,N
S,Virginia,73,183,4.56,,,,,,N
OT,Virginia Tech,79,324,,,27,114,8.07,4.5,N
CB,Virginia Tech,74,197,4.53,,16,,,,N
WR,Virginia Tech,73,201,,,,,,,N
DE,Virginia Tech,75,257,4.88,30.5,,115,7.38,4.58,N
QB,Virginia Tech,75,232,4.8,26.5,,112,,4.41,N
DT,Virginia Tech,73,287,4.96,,29,,,,N
TE,Virginia Tech,76,247,4.77,34.5,18,121,7,4.33,N
S,Virginia Tech,73,207,4.56,,15,,,,N
CB,Wake Forest,69,191,4.46,39.5,12,128,6.95,4.13,N
WR,Wake Forest,67,173,,,,,,,N
S,Wake Forest,74,195,4.5,35.5,,117,6.78,4.26,N
CB,Washburn,71,196,4.47,39.5,15,135,6.82,4.14,N
OL,Washington,80,318,5.6,24.5,,92,,,N
RB,Washington,71,197,4.62,34.5,,120,,,N
TE,Washington,74,248,4.74,32.5,23,115,7.08,4.46,N
CB,Washington,68,183,4.62,31.5,,115,6.81,4.02,N
WR,Washington,71,188,4.59,34,,118,7.14,,N
QB,Washington,74,211,4.74,29,,112,7.19,4.44,N
RB,Washington,71,215,4.65,33,23,120,,,N
C,Washington,75,292,5.24,26.5,,110,7.62,4.59,N
TE,Washington,75,247,4.55,32,17,116,7.09,4.47,N
DE,Washington,74,266,,,24,,,,N
OLB,Washington,75,238,4.73,29.5,,114,7.11,4.32,N
QB,Washington State,74,205,,,,,,,N
RB,Washington State,69,197,4.58,36.5,,118,7.01,4.25,N
WR,Washington State,73,177,4.8,31.5,,,,,N
EDGE,Washington State,73,254,4.76,31.5,26,108,7.24,4.37,N
WR,Washington State,71,189,4.56,29.5,11,117,7.01,4.2,N
QB,Washington State,75,204,4.87,,,,,,N
OG,Wayne State (MI),77,315,5.41,27,23,105,7.97,4.89,N
OL,Weber State,76,301,5.02,33,39,112,8.06,4.94,N
OT,West Georgia,78,292,4.9,,,,,,N
OT,West Georgia,77,324,5.36,28.5,30,100,8.42,4.83,N
WR,West Virginia,75,211,4.57,37.5,14,117,6.97,4.28,N
RB,West Virginia,71,199,4.64,33.5,11,122,,,N
WR,West Virginia,73,206,4.52,33.5,24,118,7.16,4.57,N
RB,West Virginia,70,227,4.74,32.5,21,,,,N
DE,West Virginia,73,268,4.83,30.5,27,110,,,N
C,West Virginia,75,298,,,24,,,,N
P,West Virginia,75,219,5.05,,,,,,N
RB,West. Michigan,71,239,4.63,30,18,109,6.93,4.31,N
CB,West. Michigan,71,194,4.62,,,120,,,N
DL,Western Illinois,73,324,5.01,30.5,27,101,7.57,4.62,N
RB,Western Michigan,69,192,4.5,39.5,16,125,,,N
RB,Western Michigan,75,241,4.78,31,15,114,7.09,4.34,N
OT,William & Mary,79,321,5.61,26,18,103,8.35,5.17,N
OL,Wisconsin,78,309,5.24,,20,,,,N
S,Wisconsin,70,204,4.81,33.5,20,119,,,N
LB,Wisconsin,73,230,,,16,,,,N
FB,Wisconsin,73,242,4.89,34,16,116,7.35,4.32,N
EDGE,Wisconsin,75,248,4.8,33,21,121,,4.28,N
RB,Wisconsin,70,220,4.68,28.5,19,115,,,N
RB,Wisconsin,71,213,4.65,35,14,120,6.99,4.34,N
CB,Wisconsin,69,177,4.51,35,10,120,6.92,4.02,N
OT,Wisconsin,79,316,5.54,27.5,19,99,8.38,4.97,N
QB,Wisconsin,77,236,4.8,33.5,,115,7.29,4.33,N
EDGE,Wyoming,77,254,4.79,35,,119,7.44,4.41,N
S,Wyoming,73,209,4.56,36.5,9,121,7.08,4.2,N
FB,Yale,71,222,4.69,,23,,,,N
