player,team,gp,mpg,fgm,fga,fg_pct,threepm,threepa,three_pct,ftm,fta,ft_pct,tov,pf,orb,drb,rpg,apg,spg,bpg,ppg,pick,conference,college,CollegeBudgetFile,latitude,longitude,ExpensesMensBasketball,RevenueMensBasketball
Buddy Hield,OU,37,35.4,8.1,16.2,0.501,4,8.7,0.457,4.8,5.4,0.88,3.1,2.1,1.2,4.5,5.7,2,1.1,0.5,25,6,Big 12,Oklahoma,University of Oklahoma-Norman Campus,35.2085041,-97.4456811,43453315,94817907
Isaiah Cousins,OU,37,33.3,4.6,11.2,0.406,1.8,4.3,0.411,1.8,2.6,0.67,2.4,1.7,0.6,3.8,4.5,4.5,1.4,0.3,12.6,59,Big 12,Oklahoma,University of Oklahoma-Norman Campus,35.2085041,-97.4456811,43453315,94817907
Kay Felder,OU,35,36.7,7.7,17.5,0.44,2.2,6.1,0.355,6.8,8.1,0.848,3.4,3,0.7,3.5,4.3,9.3,2,0.2,24.4,54,Horizon,Oakland,Oakland University,42.671408,-83.218935,0,0
Trae Young,OU,32,35.4,8.2,19.3,0.422,3.7,10.2,0.36,7.4,8.6,0.861,5.2,1.8,0.4,3.5,3.9,8.7,1.7,0.2,27.4,5,Big 12,Oklahoma,University of Oklahoma-Norman Campus,35.2085041,-97.4456811,43453315,94817907
Ben Bentil,PROV,35,34.2,7,15.2,0.462,1.5,4.5,0.329,5.5,7.1,0.782,1.9,2.8,2.7,5,7.7,1.1,0.9,1,21.1,51,Big East,Providence,Providence College,41.8441035,-71.4379605,0,0
Kris Dunn,PROV,33,33,5.6,12.5,0.448,1.3,3.4,0.372,4,5.8,0.695,3.5,2.8,1.1,4.2,5.3,6.2,2.5,0.6,16.4,5,Big East,Providence,Providence College,41.8441035,-71.4379605,0,0
Tony Carr,PSU,37,35.3,6.6,16.2,0.408,2.4,5.5,0.433,4,5,0.799,2.3,1.8,0.9,4.1,4.9,5,0.8,0.3,19.6,51,Big Ten,Penn State,Pennsylvania State University-Main Campus,40.7964727,-77.8628163,48538956,100133983
A.J. Hammons,PU,33,24.6,6,10.2,0.592,0.2,0.3,0.545,2.7,3.8,0.709,2,2.4,2.3,5.8,8.2,1.1,0.3,2.5,15,46,Big Ten,Purdue,Purdue University-Main Campus,40.4282112,-86.9143951,27342141,54752462
Caleb Swanigan,PU,35,32.5,6.3,12,0.527,1.1,2.4,0.447,4.7,6,0.781,3.4,2.8,2.7,9.7,12.5,3,0.4,0.8,18.5,26,Big Ten,Purdue,Purdue University-Main Campus,40.4282112,-86.9143951,27342141,54752462
Carsen Edwards,PU,36,35.4,7.7,19.5,0.394,3.8,10.6,0.355,5.1,6.1,0.837,3.1,2,0.4,3.2,3.6,2.9,1.3,0.3,24.3,33,Big Ten,Purdue,Purdue University-Main Campus,40.4282112,-86.9143951,27342141,54752462
Vince Edwards,PU,35,31.6,5.1,10.8,0.476,1.5,3.7,0.398,2.9,3.4,0.833,2,1.8,2,5.4,7.4,2.9,0.5,0.6,14.6,52,Big Ten,Purdue,Purdue University-Main Campus,40.4282112,-86.9143951,27342141,54752462
Jalen McDaniels,SDSU,34,31.1,6.2,13.4,0.466,0.7,2.2,0.32,2.7,3.7,0.732,2.4,2.9,2,6.3,8.3,2.1,1.1,0.5,15.9,52,Mountain West,San Diego State,San Diego State University,32.7720012,-117.0726966,16070045,13422004
Isaiah Whitehead,SHU,34,32.3,5.7,15.1,0.379,2.4,6.5,0.365,4.4,5.8,0.76,3.5,2.3,0.5,3.1,3.6,5.1,1.2,1.4,18.2,42,Big East,Seton Hall,Seton Hall University,40.7433813,-74.2487333,0,0
DeAndre' Bembry,SJU,36,37.2,6.6,13.8,0.479,0.9,3.6,0.266,3.2,4.9,0.657,2,2.4,1.4,6.3,7.8,4.5,1.4,0.8,17.4,21,Atlantic 10,Saint Joseph's,Saint Joseph's University,39.995634,-75.2406137,0,0
Semi Ojeleye,SMU,35,34.1,6,12.3,0.487,2.1,4.9,0.424,4.9,6.3,0.785,1.4,1.8,2.3,4.6,6.9,1.5,0.4,0.4,19,37,American,SMU,Southern Methodist University,32.8449511,-96.7859334,20519325,20519325
Shake Milton,SMU,35,35.4,4.3,9.9,0.437,2.3,5.5,0.423,2,2.6,0.758,1.8,1.5,0.4,3.7,4.1,4.5,1.3,0.3,13,54,American,SMU,Southern Methodist University,32.8449511,-96.7859334,20519325,20519325
Sterling Brown,SMU,35,32.7,4.6,10,0.459,1.7,3.9,0.449,2.5,3.1,0.791,1.9,2.6,1.6,4.9,6.5,3,1.4,0.5,13.4,46,American,SMU,Southern Methodist University,32.8449511,-96.7859334,20519325,20519325
Anthony Brown,SU,37,35.7,4.8,11,0.431,2.1,4.8,0.441,3.1,3.9,0.795,1.9,2.1,1.1,5.8,6.9,2.5,0.8,0.2,14.8,34,PAC-12,Stanford,Stanford University,37.4400665,-122.1696059,30470121,44462092
KZ Okpala,SU,29,32.7,5.9,12.7,0.463,1.1,3,0.368,4,6,0.671,2.9,2.5,1.2,4.5,5.7,2,1,0.5,16.8,32,PAC-12,Stanford,Stanford University,37.4400665,-122.1696059,30470121,44462092
Malachi Richardson,SU,37,34.4,4.1,11.1,0.369,2.1,6.1,0.353,3.1,4.2,0.72,2.1,2.5,0.5,3.8,4.3,2.1,1.2,0.3,13.4,22,ACC,Syracuse,Syracuse University,43.049345,-76.138055,28000705,43813014
Michael Gbinije,SU,37,37.9,6.1,13.2,0.461,2.5,6.3,0.391,2.9,4.3,0.662,2.8,2.6,1.1,3,4.1,4.3,1.9,0.4,17.5,49,ACC,Syracuse,Syracuse University,43.049345,-76.138055,28000705,43813014
Rakeem Christmas,SU,31,34.3,6.5,11.9,0.552,0,0,0,4.4,6.2,0.712,2.5,3.4,3.1,5.9,9,1.5,0.9,2.5,17.5,36,ACC,Syracuse,Syracuse University,43.049345,-76.138055,28000705,43813014
Tyler Lydon,SU,34,36.1,4.4,9.4,0.472,1.4,3.7,0.392,2.9,3.4,0.836,1.7,2.5,2.3,6.3,8.6,2.1,1,1.4,13.2,24,ACC,Syracuse,Syracuse University,43.049345,-76.138055,28000705,43813014
Robert Williams,TAMU,30,25.6,4.6,7.3,0.632,0,0.4,0,1.1,2.3,0.471,1.7,2.2,2.4,6.9,9.2,1.4,0.8,2.5,10.4,27,SEC,Texas A&M,Texas A & M University-College Station,30.6187558,-96.3364772,42803201,73517543
Jarrett Culver,TTU,38,32.5,6.7,14.5,0.461,1.3,4.2,0.304,3.9,5.5,0.707,2.7,1.9,1.4,5,6.4,3.7,1.5,0.6,18.5,6,Big 12,Texas Tech,Texas Tech University,33.5842591,-101.8782822,20765181,51075082
Zhaire Smith,TTU,37,28.4,4.2,7.5,0.556,0.5,1.1,0.45,2.5,3.4,0.717,1.1,1.8,2.2,2.8,5,1.8,1.1,1.1,11.3,16,Big 12,Texas Tech,Texas Tech University,33.5842591,-101.8782822,20765181,51075082
Bobby Portis,U of A,36,29.9,6.9,12.9,0.536,0.4,0.8,0.467,3.2,4.3,0.737,1.6,2.2,3.7,5.2,8.9,1.2,1.1,1.4,17.5,22,SEC,Arkansas,University of Arkansas,36.0699572,-94.1769533,43162670,76463785
Daniel Gafford,U of A,32,28.7,6.7,10.1,0.66,0,0,0,3.6,6,0.591,2.4,2.8,2.8,5.8,8.7,0.7,0.9,2,16.9,38,SEC,Arkansas,University of Arkansas,36.0699572,-94.1769533,43162670,76463785
Deandre Ayton,U of A,35,33.5,7.9,12.9,0.612,0.3,1,0.343,4,5.5,0.733,2,2.3,3.4,8.2,11.6,1.6,0.6,1.9,20.1,1,PAC-12,Arizona,University of Arizona,32.2327247,-110.9508944,22548661,43272457
Kadeem Allen,U of A,34,30,3.1,6.9,0.453,0.9,2.2,0.427,2.5,3.4,0.741,1.9,2.4,0.4,3.7,4,3,1.6,0.6,9.8,53,PAC-12,Arizona,University of Arizona,32.2327247,-110.9508944,22548661,43272457
